File name;sequence;time parsed;rows inserted
/2014-2H/equity/equityindex_2002.xml;4;14.04.2015 14:07;10593
/2014-2H/equity/equityindex_2003.xml;4;14.04.2015 14:08;10608
/2014-2H/equity/equityindex_2004.xml;4;14.04.2015 14:09;10711
/2014-2H/equity/equityindex_2005.xml;4;14.04.2015 14:13;10762
/2014-2H/equity/equityindex_2007.xml;4;14.04.2015 14:17;12757
/2014-2H/equity/equityindex_2008.xml;4;14.04.2015 14:23;15667
/2014-2H/equity/equityindex_2009.xml;4;14.04.2015 14:28;16064
/2014-2H/equity/equityindex_2010.xml;4;14.04.2015 14:30;16305
/2014-2H/equity/equityindex_2011.xml;4;14.04.2015 14:33;16748
/2014-2H/equity/equityindex_2012.xml;4;14.04.2015 14:37;16393
/2014-2H/equity/equityindex_2013.xml;23;14.04.2015 14:55;15915
/2014-2H/equity/equityindex_2014.xml;23;14.04.2015 14:59;15604
/Lenkede_indekser_2013.csv;1;14.04.2015 15:37;7725
/2014-2H/bond/bondfeed_full.xml;3;23.04.2015 00:22;114625
/2015-1H/bondfeed.xml;26;16.08.2015 23:22;68593
/2015-1H/bondindex.xml;26;16.08.2015 23:22;615
/2015-1H/bondprices_ABM.xml;26;16.08.2015 23:22;5506
/2015-1H/bondprices_OB.xml;26;16.08.2015 23:23;10267
/2015-1H/equityfeed.xml;26;16.08.2015 23:23;9842
/2015-1H/equityindex.xml;26;16.08.2015 23:24;8059
/2015-1H/equitypricedump_OAX.xml;26;16.08.2015 23:24;3912
/2015-1H/equitypricedump_OB.xml;26;16.08.2015 23:28;70612
/2015-1H/equity_pricedump_19800101_20150701_adjusted.txt;26;16.08.2015 23:47;1999050
/2015-1H/equity_pricedump_19800101_20150701_adjusted_axess.txt;26;16.08.2015 23:47;62775
/2015-1H/equity_pricedump_adjusted.txt;26;16.08.2015 23:48;70608
/2015-1H/equity_pricedump_adjusted_axess.txt;26;16.08.2015 23:48;3911
/2015-1H/funds.txt;26;17.08.2015 10:10;1532
/options_prices_1990_1999.txt;1;30.09.2015 01:50;439682
/options_prices_1H_2015.txt;1;30.09.2015 01:53;407116
/options_prices_2000.txt;1;30.09.2015 01:54;81226
/options_prices_2001.txt;1;30.09.2015 01:55;107462
/options_prices_2002.txt;1;30.09.2015 01:56;100709
/options_prices_2003.txt;1;30.09.2015 01:57;86065
/options_prices_2004.txt;1;30.09.2015 01:58;87152
/options_prices_2005.txt;1;30.09.2015 01:59;100583
/options_prices_2006.txt;1;30.09.2015 02:00;113562
/options_prices_2007.txt;1;30.09.2015 02:01;159711
/options_prices_2008.txt;1;30.09.2015 02:03;230403
/options_prices_2009.txt;1;30.09.2015 02:06;319209
/options_prices_2010.txt;1;30.09.2015 02:09;355766
/options_prices_2011.txt;1;30.09.2015 02:14;514581
/options_prices_2012.txt;1;30.09.2015 02:18;530550
/options_prices_2013.txt;1;30.09.2015 02:23;516905
/options_prices_2014.txt;1;30.09.2015 02:28;612063
/2015-1H/fund_dividends.txt;26;01.10.2015 01:46;41
/2015-1H/fund_prices.txt;26;01.10.2015 01:48;169409
/2015-1H/futforw_prices.txt;26;01.10.2015 01:48;25962
/2015-1H/shareidx_prices.txt;26;01.10.2015 01:48;5369
/2015-2H/bondfeed.xml;27;24.01.2016 05:33;70438
/2015-2H/bondindex.xml;27;24.01.2016 05:34;645
/2015-2H/bondprices_ABM.xml;27;24.01.2016 05:34;4583
/2015-2H/bondprices_OB.xml;27;24.01.2016 05:34;10141
/2015-2H/equityfeed.xml;27;24.01.2016 05:35;10073
/2015-2H/equityindex.xml;27;24.01.2016 05:35;8349
/2015-2H/equitypricedump_OAX.xml;27;24.01.2016 05:36;4095
/2015-2H/equitypricedump_OB.xml;27;24.01.2016 05:42;78609
/2015-2H/equity_pricedump_19800101_20160101_adjusted.txt;27;24.01.2016 06:00;2077069
/2015-2H/equity_pricedump_19800101_20160101_adjusted_axess.txt;27;24.01.2016 06:01;66839
/2015-2H/equity_pricedump_adjusted.txt;27;24.01.2016 06:05;78606
/2015-2H/equity_pricedump_adjusted_axess.txt;27;24.01.2016 06:05;4095
/2015-2H/funds.txt;27;24.01.2016 06:05;1554
/2015-2H/fund_dividends.txt;27;24.01.2016 06:05;159
/2015-2H/fund_prices.txt;27;24.01.2016 06:07;178133
/2015-2H/futforw_prices.txt;27;24.01.2016 06:08;33059
/2015-2H/options_prices.txt;27;24.01.2016 06:13;597804
/2015-2H/shareidx_prices.txt;27;24.01.2016 06:13;5676
/bills_historical.csv;1;04.02.2016 00:00;7492
/2016-1H/bondfeed.xml;28;09.08.2016 00:03;73349
/2016-1H/bondindex.xml;28;09.08.2016 00:04;620
/2016-1H/bondprices_ABM.xml;28;09.08.2016 00:04;4859
/2016-1H/bondprices_OB.xml;28;09.08.2016 00:04;10135
/2016-1H/equityindex.xml;28;09.08.2016 00:05;7715
/2016-1H/equitypricedump_OAX.xml;28;09.08.2016 00:05;3596
/2016-1H/equitypricedump_OB.xml;28;09.08.2016 00:08;85173
/2016-1H/equity_pricedump_19800101_20160701_adjusted.txt;28;09.08.2016 00:26;2162237
/2016-1H/equity_pricedump_19800101_20160701_adjusted_axess.txt;28;09.08.2016 00:27;70435
/2016-1H/equity_pricedump_adjusted.txt;28;09.08.2016 00:28;85169
/2016-1H/equity_pricedump_adjusted_axess.txt;28;09.08.2016 00:28;3596
/2016-1H/funds.txt;28;09.08.2016 00:28;1479
/2016-1H/fund_dividends.txt;28;09.08.2016 00:28;27
/2016-1H/fund_prices.txt;28;09.08.2016 00:30;162354
/2016-1H/futforw_prices.txt;28;09.08.2016 00:30;31693
/2016-1H/options_prices.txt;28;09.08.2016 00:35;596303
/2016-1H/shareidx_prices.txt;28;09.08.2016 00:35;5433
/2015-2H/oa_gics.txt;27;17.08.2016 10:06;32
/2015-2H/ob_gics.txt;27;17.08.2016 10:06;168
/2016-1H/oa_gics.txt;28;17.08.2016 10:07;30
/2016-1H/ob_gics.txt;28;17.08.2016 10:07;168
/acc_fields.csv;1;17.08.2016 10:51;84
/2016-2H/bondfeed.xml;29;29.01.2017 05:19;78819
/2016-1H/equityfeed.xml;28;26.02.2017 21:44;10569
/2016-2H/bondindex.xml;29;27.02.2017 14:05;650
/2016-2H/bondprices_ABM.xml;29;27.02.2017 14:06;4958
/2016-2H/bondprices_OB.xml;29;27.02.2017 14:07;10959
/2016-2H/equityfeed.xml;29;27.02.2017 14:07;9674
/2016-2H/equityindex.xml;29;27.02.2017 14:08;8234
/2016-2H/equitypricedump_OAX.xml;29;27.02.2017 14:08;3776
/2016-2H/equitypricedump_OB.xml;29;27.02.2017 14:15;82841
/2016-2H/equity_pricedump_19800101_20161231_adjusted.txt;29;27.02.2017 15:23;2244469
/2016-2H/equity_pricedump_19800101_20161231_adjusted_axess.txt;29;27.02.2017 15:25;74181
/2016-2H/equity_pricedump_adjusted.txt;29;27.02.2017 15:27;82837
/2016-2H/equity_pricedump_adjusted_axess.txt;29;27.02.2017 15:27;3776
/2016-2H/funds.txt;29;27.02.2017 15:27;1471
/2016-2H/fund_adj_factors.txt;29;27.02.2017 15:28;13
/2016-2H/fund_dividends.txt;29;27.02.2017 15:28;136
/2016-2H/fund_prices.txt;29;27.02.2017 15:31;165554
/2016-2H/futforw_prices.txt;29;27.02.2017 15:31;33504
/2016-2H/oa_gics.txt;29;27.02.2017 15:32;29
/2016-2H/ob_gics.txt;29;27.02.2017 15:32;168
/2016-2H/options_prices.txt;29;27.02.2017 15:43;585878
/2016-2H/shareidx_prices.txt;29;27.02.2017 15:44;5870
/GICS_all.csv;1;13.03.2017 15:08;822
/account/account_mapping.csv;30;10.08.2017 11:34;246
/2017-1H/bondfeed.xml;30;07.09.2017 11:14;87772
/2017-1H/bondindex.xml;30;07.09.2017 11:14;615
/2017-1H/bondprices_ABM.xml;30;07.09.2017 11:15;6291
/2017-1H/bondprices_OB.xml;30;07.09.2017 11:16;12429
/2017-1H/equityfeed.xml;30;07.09.2017 11:17;11017
/2017-1H/equityindex.xml;30;07.09.2017 11:17;7774
/2017-1H/equitypricedump_OAX.xml;30;07.09.2017 11:18;3027
/2017-1H/equitypricedump_OB.xml;30;07.09.2017 11:24;88657
/2017-1H/equity_pricedump_19800101_20170701_adjusted.txt;30;07.09.2017 12:50;2333122
/2017-1H/equity_pricedump_19800101_20170701_adjusted_axess.txt;30;07.09.2017 12:52;77208
/2017-1H/equity_pricedump_adjusted.txt;30;07.09.2017 12:54;88653
/2017-1H/equity_pricedump_adjusted_axess.txt;30;07.09.2017 12:54;3027
/2017-1H/funds.txt;30;07.09.2017 12:54;1481
/2017-1H/fund_dividends.txt;30;07.09.2017 12:55;4
/2017-1H/fund_prices.txt;30;07.09.2017 12:57;159723
/2017-1H/futforw_prices.txt;30;07.09.2017 12:58;32209
/2017-1H/oa_gics.txt;30;07.09.2017 12:58;25
/2017-1H/ob_gics.txt;30;07.09.2017 12:58;168
/2017-1H/options_prices.txt;30;07.09.2017 13:08;553825
/2017-1H/shareidx_prices.txt;30;07.09.2017 13:08;5658
/futforw_prices.txt;1;18.02.2018 05:20;398944
/2017-2H/bondfeed.xml;31;18.02.2018 05:21;80646
/2017-2H/bondindex.xml;31;18.02.2018 05:22;640
/2017-2H/bondprices_ABM.xml;31;18.02.2018 05:22;5334
/2017-2H/bondprices_OB.xml;31;18.02.2018 05:22;11649
/2017-2H/equityfeed.xml;31;18.02.2018 05:23;9102
/2017-2H/equityindex.xml;31;18.02.2018 15:58;8192
/2017-2H/equitypricedump_OAX.xml;31;18.02.2018 15:59;2882
/2017-2H/equitypricedump_OB.xml;31;18.02.2018 16:06;101174
/2017-2H/equity_pricedump_19800101_20171231_adjusted.txt;31;18.02.2018 16:58;2434291
/2017-2H/equity_pricedump_19800101_20171231_adjusted_axess.txt;31;18.02.2018 17:00;80089
/2017-2H/equity_pricedump_adjusted.txt;31;18.02.2018 17:02;101169
/2017-2H/equity_pricedump_adjusted_axess.txt;31;18.02.2018 17:03;2882
/2017-2H/funds.txt;31;18.02.2018 17:03;1474
/2017-2H/fund_dividends.txt;31;18.02.2018 17:03;168
/2017-2H/fund_prices.txt;31;18.02.2018 17:06;169044
/2017-2H/futforw_prices.txt;31;18.02.2018 17:07;32959
/2017-2H/oa_gics.txt;31;18.02.2018 17:07;22
/2017-2H/ob_gics.txt;31;18.02.2018 17:07;169
/2017-2H/options_prices.txt;31;18.02.2018 17:19;543461
/2017-2H/shareidx_prices.txt;31;18.02.2018 17:19;5888
/Options_prices new/options_prices.txt;37;22.02.2018 10:34;1075838
/Options_prices new/options_prices_2008_2009.txt;37;22.02.2018 10:45;549618
/Options_prices new/options_prices_2010_2011.txt;37;22.02.2018 11:03;870346
/Options_prices new/options_prices_2012_2013.txt;37;22.02.2018 11:24;1047454
/Options_prices new/options_prices_2014_2015.txt;37;22.02.2018 11:55;1616569
